#  <obsnum>   <comment>     # <SLpipeline args>
#

# see the __wide waterfalls for bad beams


#155800__1    4?  CO                   # pix_list=-4,15

156134__0    3   C18O/13CO            # pix_list=-3,13
156134__1    1   CN                   # pix_list=-1,13,15
156138__0    1   C18O/13CO            # pix_list=-1,13
156141__1    1   CN                   # pix_list=-1,13,15
156145__1    1   CN                   # pix_list=-1,13,15
156159__1    1,7 CN                   # pix_list=-1,7,13,15
156495__1    1   CN                   # pix_list=-1,13,15


#156134_156499__CN    final CN        # oid=__CN
#155800_156499__C180  final C18O      # oid=__C18O
#155800_155812__CO    final CO        # oid=__CO
#155800_156499__13CO  final 13CO      # oid=__13CO


# wide waterfall
#          bank=0    bank=1
# 155800   -         4(edge)
# 155801   -	     -
# 155802   -	     -
# 155804   1(edge)   -
# 155805   -	     -
# 155806   -	     -
# 155810   -	     -
# 155811   -	     2(last)
# 155812   -	     2(last)
# 156134   3 (2,bit) 1(early ripple)
# 156138   1(rippl)  -
# 156141   -	     1(ripple)
# 156145   -	     1(ripple)
# 156159   -	     1,7(ripple)         bank=1 has low level ripples a lot
# 156161   -	     -
# 156163   -	     -		         bank=1 some low= level riupples in 1
# 156495   -	     1(ripple)
# 156497   -	     -
# 156499   -	     -
